Symbol,MGI_ID
NKX2-3,97348
NKX2-4,97349
NKX2-5,97350
NKX2-6,97351
NKX3-1,97352
NME1,97355
NME2,97356
MYCN,97357
NODAL,97359
NOS1,97360
NOS2,97361
NOS3,97362
NOTCH1,97363
NOTCH2,97364
PNP,97365
NPPA,97367
NPPB,97368
NPPC,97369
ENPP1,97370
NPR1,97371
NPR2,97372
NPR3,97373
NPY,97374
NRAS,97376
NRAS-PS2,97378
SLC10A1,97379
NTF3,97380
NTF5,97381
NTRK1,97383
NTRK2,97384
NTRK3,97385
NTSR1,97386
NUCB1,97388
OAT,97394
OAT-RS1,97395
OPCML,97397
OCM,97401
ODC1,97402
ODF1,97424
OAS1G,97429
OAS1B,97430
OLFR2,97432
MOG,97435
OMP,97436
OPRD1,97438
OPRK1,97439
OPRL1,97440
OPRM1,97441
ORM1,97443
ORM2,97444
ORM3,97445
OSBP,97447
OTC,97448
OTX1,97450
OTX2,97451
OXT,97453
OCA2,97454
P4HA1,97463
P4HB,97464
PAH,97473
PAM,97475
REG3B,97478
PAPPA,97479
PAX1,97485
PAX2,97486
PAX3,97487
PAX4,97488
PAX5,97489
PAX6,97490
PAX7,97491
PAX8,97492
PAX9,97493
PBX1,97495
PBX3,97496
PCCA,97499
PCK1,97501
PCMT1,97502
PCNA,97503
PCNA-PS1,97504
PCNA-PS2,97505
PCP2,97508
PCP4,97509
PCSK1,97511
PCSK2,97512
FURIN,97513
PCSK4,97514
PCSK5,97515
CDK16,97516
CDK17,97517
CDK18,97518
PCX,97520
PDE1B,97523
PDE6A,97524
PDE6B,97525
PDE6G,97526
PDGFA,97527
PDGFB,97528
PDGFRA,97530
PDGFRB,97531
PDHA1,97532
PDHA2,97533
PDYN,97535
PECAM1,97537
RHOX5,97538
PEPD,97542
CFP,97545
PFKL,97547
PFKM,97548
PFN1,97549
PFN2,97550
PRF1,97551
PGAM1,97552
PGD,97553
PGK1,97555
PGK1-PS1,97556
PGK1-PS3,97558
PGK1-RS7,97562
PGK2,97563
PGM2,97564
PGM1,97565
PGM3,97566
PGR,97567
ABCB1B,97568
ABCB4,97569
ABCB1A,97570
PHB,97572
PHKA1,97576
PHKA2,97577
PHKB,97578
PHKG1,97579
PIK3R1,97583
PIM1,97584
PIM2,97587
POU1F1,97588
PKM,97591
PRKACA,97592
PRKACA-PS1,97593
PRKACB,97594
PRKCA,97595
PRKCB,97596
PRKCG,97597
PRKCD,97598
PRKCE,97599
PRKCH,97600
PRKCQ,97601
PRKCZ,97602
PKD1,97603
PKLR,97604
PRL3D1,97606
PRL3B1,97607
SERPINE1,97608
SERPINB2,97609
PLAT,97610
PLAU,97611
PLAUR,97612
PLCB1,97613
PLCD1,97614
PLCG1,97615
PLCG2,97616
PRL2C2,97618
PRL7D1,97619
PLG,97620
PLK1,97621
PLN,97622
PLP1,97623
PMCH,97629
PMP22,97631
PRRX1,97712
PNLIP,97722
PNLIPRP1,97723
PNMT,97724
POLB,97740
POLD1,97741
POMC,97742
POR,97744
ENDOU,97746
PPARG,97747
CTSA,97748
PPIA,97749
PPIB,97750
PPIC,97751
PPY,97753
SRGN,97756
PRIM1,97757
PRIM2,97758
PRKAR1B,97759
PRKAR2B,97760
PRL,97762
PRLR,97763
PRM1,97765
PRM2,97766
PRN,97767
PRNP,97769
PRODH,97770
PROC,97771
PROX1,97772
PRH1,97773
PRPH,97774
PRPS1,97775
PRPS2,97776
PSAP,97783
BPIFA2,97787
PSPH,97788
PTBP1,97791
PTGER1,97793
PTGER2,97794
PTGER3,97795
PTGFR,97796
PTGS1,97797
PTGS2,97798
PTH,97799
PTHLH,97800
PTH1R,97801
PTMA,97803
PTN,97804
PTPN1,97805
PTPN2,97806
PTPN5,97807
PTPRA,97808
PTPRB,97809
PTPRC,97810
PTPRCAP,97811
PTPRD,97812
PTPRE,97813
PTPRG,97814
PTPRS,97815
PTPRZ1,97816
PVALB,97821
NECTIN2,97822
PVT1,97824
PYGB,97828
PYGL,97829
PYGM,97830
PPA1,97831
QDPR,97836
QK,97837
EPRS,97838
RAB1A,97842
RAB3A,97843
RAB3D,97844
RAC1,97845
RAC2,97846
RAF1,97847
RAG1,97848
RAG2,97849
RALY,97850
SLC20A2,97851
RAP1A,97852
RAP2A,97855
RARA,97856
RARB,97857
RARG,97858
RASA1,97860
RB1,97874
RBP1,97876
RBP2,97877
RBP3,97878
RBP4,97879
RCVRN,97883
RDX,97887
RAD51,97890
RFC1,97891
REG1,97895
REG2,97896
REL,97897
REN1,97898
RET,97902
TRIM27,97904
RHEB,97912
RHO,97914
RNASE1,97919
RLBP1,97930
RLN1,97931
XPR1,97932
RMRP,97937
RN4.5S-PS3,97944
RN4.5S-PS4,97945
RN4.5S,97946
RN4.5S-PS1,97947
RN4.5S-PS2,97948
RN5S,97949
RN7S1,97950
RN7S2,97953
RN7S6,97956
RNPS1,97960
SNORD14C,97971
RNU1A1,97972
RNU1B1,97974
RNU2-10,97976
SNORD3A,97977
SNORD3B-PS1,97979
SNORD3B-PS2,97980
RNU3B-PS3,97981
SNORD3B1,97985
SNORD3B2,97986
SNORD3B3,97987
SNORD3B4,97988
RNU6,97989
RNU6-PS1,97990
RNU6-PS2,97991
RNU7,97992
RNU7-PS1,97993
RNU7-PS2,97994
RNY1,97995
ROM1,97998
ROS1,97999
RPE65,98001
RPL12,98002
RPL18,98003
RPL18-PS1,98018
RPL19,98020
RPL27,98036
RPL30,98037
RPL32,98038
RPL32-PS,98039
RPL37A,98068
RPL7,98073
RPN1,98084
RPN2,98085
POLR2A,98086
